Open,High,Low,Close,Volume
82.0601,83.5517,81.6379,83.5517,11696020.943344
82.1529,83.5617,81.6468,81.8786,10870908.955248
82.2328,82.5593,81.2393,82.4597,10896992.822201
82.7734,83.2716,82.3422,83.0378,8014132.0407023
83.6149,84.2661,82.0601,82.3689,10639980.624432
80.9503,83.1542,79.6747,83.1275,12575328.948787
78.9722,81.3833,78.3576,81.3833,9554243.8437743
81.7089,81.8984,78.4839,78.9179,8187466.6499781
81.8549,84.1664,81.628,82.1795,26600582.548808
82.6658,83.312,81.4199,82.1893,15983874.981743
83.6061,84.3272,82.4685,82.8928,11983656.06516
84.1299,84.2917,82.9826,83.5517,13561061.523574
86.7235,87.1734,83.4739,83.8053,13757010.327531
87.1299,87.5325,86.7413,87.2996,14011359.706409
85.7015,87.4358,85.6393,87.1645,20524751.550932
84.9428,85.4124,84.1042,84.9428,10675703.145675
84.6646,85.3858,84.3765,84.8362,9679166.2364597
84.2394,84.3765,82.5376,84.0401,10303354.500497
84.5433,84.7169,83.2361,83.5153,8852268.2236644
83.7432,84.5797,82.2782,84.5107,15718212.423715
84.4525,85.6925,84.1664,84.2917,12313495.903421
85.521,85.521,83.3446,84.3015,15422066.823255
84.1743,85.5012,83.7876,85.3759,18034633.748856
83.8863,84.2828,83.7056,83.8497,6782336.5523664
83.6761,84.2127,83.2982,84.0224,8959531.069074
83.0466,83.8863,82.9736,83.76,9988939.1445512
82.3422,83.4709,82.3422,83.0556,9045583.6041434
82.4311,83.0999,81.8697,82.6954,4870279.5308074
82.802,83.4393,82.4222,82.5761,9865555.4496481
84.2305,84.7268,82.9826,83.1995,13366094.931839
84.6646,85.0829,83.9316,84.2739,10470133.932857
84.7534,85.6492,84.6113,84.7534,14405598.810947
84.3095,84.8274,83.76,84.7613,13843813.966063
84.3943,84.8274,83.9977,84.4525,12866361.774797
83.0822,84.5304,82.7359,84.4348,14876360.2552
83.2982,84.42,82.8839,83.7432,13861665.090335
82.5218,83.7096,82.361,83.4807,11859710.816521
82.1607,82.6806,81.9082,82.5317,7322382.9831262
82.7389,82.7645,81.8618,82.4685,9984681.8779596
82.0799,82.6856,81.6901,82.6658,9805334.3864405
81.2028,82.6037,81.1357,82.3857,13582978.337442
